Date,US_Stocks,US_Bonds,Dev_Stocks_ExUS,Dev_Bonds_ExUS,EM_Stocks,EM_Bonds,Cash
2015-06-30,-0.011901015008440985,0.002125527759722523,-0.024180726105709982,-0.0009596782826276629,-0.004363643761837066,0.0003638762432121023,0.0002187816491527883
2015-07-31,0.014831914968748805,0.009774968044348187,0.001956291678941069,0.017867441283526242,-0.06695885124018064,-0.0028189283909489937,-1.1102230246251565e-16
2015-08-31,-0.08530703143516183,-0.002100487277932439,-0.10543442301927153,-0.0015099663467087465,-0.14457205009517826,-0.01842061102501047,-0.0002187337942126666
2015-09-30,0.012805226565214545,0.00475889346056757,0.014550731970195185,0.0035916563559275083,0.03935329358041595,-0.007525060973491926,0.0
2015-10-31,0.06606991641171334,-0.003096857313506729,0.045894611497215854,0.001695237376704295,0.02260054196245398,0.01563229561285917,-0.00043764677089219717
2015-11-30,0.008396337762460293,-0.011055268325360412,-0.007884797450626202,-0.009025940945502908,-0.026119398491004753,-0.010691277991791481,0.00021887744015769428
2015-12-31,-0.027216959235307425,-0.0021248681825413174,-0.04768490126637004,0.0034155655136607344,-0.03595641643766867,-0.014533236555021922,-0.00021882954330754156
2016-01-31,-0.049109254991002826,0.012406224529099674,-0.05406385341042741,0.013048385264216922,-0.05747475430713245,0.00037815197569424086,0.00021887744015769428
2016-02-29,0.03392404376538316,0.00027433726305892137,0.01994631621982368,0.008213526772737678,0.08368472040514763,0.022396548416338202,-2.220446049250313e-16
2016-03-31,0.03259334820410742,0.010331001199373357,0.008273761267093338,0.008331804794003084,0.0380125849615065,0.018670825376498,-1.1102230246251565e-16
2016-04-30,-0.0028982612603418723,0.003438577921204722,0.035061564818445135,-0.0022034324991199172,0.007208765795849725,0.012884476732976768,0.0004377425774746424
2016-05-31,0.019553942101113053,0.0036973907869608524,0.0036036173502602686,0.011961750534665194,-0.010306344323112393,0.003314545871949237,0.0
2016-06-30,-0.0016586775267822818,0.012129366011726983,-0.02369837839755473,0.01436619524853433,0.026612727560432203,0.02732140677315842,0.00021881724854089235
2016-07-31,0.03468324228500275,0.003284466153358201,0.03751373778523526,0.005736817888618795,0.04367425088066357,0.009821005621324375,0.0
2016-08-31,0.005469672543995552,-0.006282066055221414,0.02410493893103549,-0.00392152249535882,0.028617643963108286,0.0062827757311323396,0.00021868594195662006
2016-09-30,-0.008384452346763105,0.000979437385297377,-0.0034613525868374406,0.00286327566846456,-0.012335890415457573,0.0024803362989136435,0.0
2016-10-31,-0.036287717677155884,-0.010496355847670946,-0.04168116445915959,-0.014810881825391142,-0.028434750583380852,-0.02721612888254732,0.00021872154669999588
2016-11-30,0.05363486787974647,-0.028946433679785888,0.004711821676246286,-0.015033472742636778,-0.021608339328577975,-0.049903481665799054,-0.0006559377545513057
2016-12-31,0.017645588890179642,0.00037031028300704705,-0.0014429656987561268,-0.0016550230014735767,0.0002795169529004049,0.01744668473832367,-0.0002187337942126666
2017-01-31,0.02596075151933852,-0.000462663552589726,0.04552023898085822,-0.011235966109131024,0.07015098440089407,0.022409736829499982,-1.1102230246251565e-16
