Date,US_Stocks,US_Bonds,Dev_Stocks_ExUS,Dev_Bonds_ExUS,EM_Stocks,EM_Bonds,Cash
2015-06-22,192.4199981689453,108.20999908447266,15.71500015258789,52.099998474121094,41.25,109.93000030517578,91.4000015258789
2015-06-29,190.1300048828125,108.44000244140625,15.335000038146973,52.04999923706055,41.06999969482422,109.97000122070312,91.41999816894531
2015-07-06,190.24000549316406,108.37999725341797,15.3149995803833,52.29999923706055,39.72999954223633,109.87999725341797,91.4000015258789
2015-07-13,194.85000610351562,108.79000091552734,15.520000457763672,52.54999923706055,40.04999923706055,109.68000030517578,91.41999816894531
2015-07-20,190.6699981689453,109.12000274658203,15.164999961853027,52.880001068115234,38.38999938964844,108.9800033569336,91.41999816894531
2015-07-27,192.9499969482422,109.5,15.364999771118164,52.97999954223633,38.31999969482422,109.66000366210938,91.41999816894531
2015-08-03,190.6699981689453,109.19999694824219,15.3149995803833,52.900001525878906,37.540000915527344,108.47000122070312,91.4000015258789
2015-08-10,192.02000427246094,109.06999969482422,15.1899995803833,52.91999816894531,36.81999969482422,108.55000305175781,91.37999725341797
2015-08-17,181.0399932861328,109.76000213623047,14.199999809265137,53.06999969482422,33.86000061035156,107.08999633789062,91.4000015258789
2015-08-24,182.72000122070312,109.0,14.399999618530273,52.689998626708984,34.61000061035156,107.94999694824219,91.41999816894531
2015-08-31,176.49000549316406,109.2699966430664,13.744999885559082,52.900001525878906,32.779998779296875,107.63999938964844,91.4000015258789
2015-09-07,180.32000732421875,109.05999755859375,14.149999618530273,52.849998474121094,34.06999969482422,107.81999969482422,91.4000015258789
2015-09-14,180.1300048828125,109.27999877929688,14.050000190734863,52.959999084472656,34.36000061035156,109.11000061035156,91.37999725341797
2015-09-21,176.75999450683594,109.11000061035156,13.704999923706055,52.880001068115234,32.689998626708984,106.80000305175781,91.37999725341797
2015-09-28,178.75,109.79000091552734,13.944999694824219,53.09000015258789,34.06999969482422,106.83000183105469,91.4000015258789
2015-10-05,184.5800018310547,109.33000183105469,14.579999923706055,52.810001373291016,36.02000045776367,108.54000091552734,91.37999725341797
2015-10-12,186.1999969482422,109.7699966430664,14.640000343322754,53.02000045776367,36.369998931884766,109.54000091552734,91.37999725341797
2015-10-19,190.22000122070312,109.75,14.805000305175781,53.189998626708984,36.40999984741211,109.25,91.37999725341797
2015-10-26,190.55999755859375,109.44999694824219,14.585000038146973,53.18000030517578,34.84000015258789,108.5,91.36000061035156
2015-11-02,192.55999755859375,108.25,14.515000343322754,52.65999984741211,35.38999938964844,108.19000244140625,91.36000061035156
2015-11-09,185.6699981689453,108.55000305175781,14.119999885559082,52.939998626708984,33.70000076293945,107.87999725341797,91.36000061035156
2015-11-16,191.92999267578125,108.62000274658203,14.510000228881836,53.119998931884766,35.220001220703125,108.98999786376953,91.36000061035156
2015-11-23,192.14999389648438,108.7699966430664,14.460000038146973,53.25,33.9900016784668,108.68000030517578,91.37999725341797
2015-11-30,192.16000366210938,108.23999786376953,14.470000267028809,52.70000076293945,33.93000030517578,107.33999633789062,91.37999725341797
2015-12-07,184.97999572753906,108.69000244140625,13.845000267028809,53.06999969482422,31.559999465942383,105.29000091552734,91.37999725341797
2015-12-14,184.39999389648438,108.37999725341797,13.890000343322754,53.060001373291016,32.63999938964844,105.98999786376953,91.37999725341797
2015-12-21,188.50999450683594,108.01000213623047,13.944999694824219,52.84000015258789,33.349998474121094,105.95999908447266,91.37999725341797
2015-12-28,186.92999267578125,108.01000213623047,13.779999732971191,52.880001068115234,32.709999084472656,105.77999877929688,91.36000061035156
2016-01-04,175.97000122070312,108.66000366210938,12.890000343322754,53.06999969482422,30.0,105.3499984741211,91.36000061035156
2016-01-11,172.14999389648438,108.93000030517578,12.484999656677246,53.099998474121094,28.760000228881836,103.36000061035156,91.33999633789062
2016-01-18,174.66000366210938,108.83999633789062,12.779999732971191,53.040000915527344,29.56999969482422,104.55000305175781,91.33999633789062
2016-01-25,177.75,109.3499984741211,13.03499984741211,53.56999969482422,30.829999923706055,105.81999969482422,91.37999725341797
2016-02-01,172.30999755859375,109.31999969482422,12.664999961853027,53.689998626708984,30.290000915527344,105.12999725341797,91.37999725341797
2016-02-08,171.13999938964844,109.7699966430664,12.295000076293945,53.61000061035156,29.6299991607666,104.70999908447266,91.36000061035156
2016-02-15,176.07000732421875,109.79000091552734,12.680000305175781,53.849998474121094,30.68000030517578,106.0199966430664,91.37999725341797
2016-02-22,178.97999572753906,109.95999908447266,12.704999923706055,54.06999969482422,30.540000915527344,107.08999633789062,91.36000061035156
2016-02-29,183.77999877929688,109.37999725341797,13.295000076293945,54.0099983215332,33.40999984741211,108.19000244140625,91.37999725341797
2016-03-07,185.97999572753906,109.41999816894531,13.539999961853027,54.02000045776367,33.61000061035156,108.83999633789062,91.36000061035156
2016-03-14,188.4499969482422,110.16999816894531,13.595000267028809,54.349998474121094,34.400001525878906,110.0,91.36000061035156
2016-03-21,186.3000030517578,110.11000061035156,13.329999923706055,54.459999084472656,33.810001373291016,109.25,91.37999725341797
2016-03-28,189.77000427246094,110.51000213623047,13.404999732971191,54.459999084472656,34.68000030517578,110.20999908447266,91.37999725341797
2016-04-04,187.57000732421875,110.87999725341797,13.395000457763672,54.560001373291016,33.869998931884766,110.05000305175781,91.4000015258789
2016-04-11,190.55999755859375,110.94999694824219,13.8149995803833,54.58000183105469,35.11000061035156,111.3499984741211,91.37999725341797
2016-04-18,191.66000366210938,110.5199966430664,14.100000381469727,54.33000183105469,35.02000045776367,111.36000061035156,91.4000015258789
